Estonian;English;Progress
////Section:1;Hello!;0
ema, ema, ema;mother
viie/kümne/sendine, viie/kümne/sendise, viie/kümne/sendist;fifty cent coin
viie/sendine, viie/sendise, viie/sendist;five cent coin
viiekesi;five of us together
viies, viienda, viiendat;fifth
viil, viilu, viilu;slice
viiner, viineri, viinerit;frankfurter
viineri/pirukas, viineri/piruka, viineri/pirukat;frankfurter pie
viis, viie, viit;five
viis/sada, viie/saja, viit/sada;five hundred
viis/teist, viie/teist/kümne, viit/teist/kümmet;fifteen
viker/kaar, viker/kaare, viker/kaart;rainbow
Viljandi, Viljandi, Viljandit;Viljandi (Estonian place name)
Vilnius, Vilniuse, Vilniust;Vilnius
viski, viski, viskit;whisky
vitraaži/kursus, vitraaži/kursuse, vitraaži/kursust;stained glass course
vt (vaata);see also
või, või, võid;butter, also: or
või/leib, või/leiva, või/leiba;sandwich
Võru, Võru, Võrut;Võru (Estonian place name)
Võru/maa, Võru/maa, Võru/maad;Võru County
väi/mees, väi/mehe, väi/meest;son-in-law
väikse/võitu;a little too small
välimus, välimusе, välimust;appearance
välja arvatud;excluded
väljak, väljaku, väljakut;square
välk, välgu, välku;lightening
värav, värava, väravat;gate
õde-vend;brother and sister
õhtune, õhtuse, õhtust;evening
õhu/pall, õhu/palli, õhu/palli;balloon
Õie, Õie, Õiet;Õie (female name)
õlg, õla, õlga;shoulder
õmbleja, õmbleja, õmblejat;seamstress
õmblema, õmmel/da, õmble/n;to sew
õmblus/masin, õmblus/masina, õmblus/masinat;sewing machine
õnnelikult;happily
õuna/pirukas, õuna/piruka, õuna/pirukat;apple pie
äi, äia, äia;father-in-law
ämblik, ämbliku, ämblikku;spider
ämm, ämma, ämma;mother-in-law
öko/toode, öko/toote, öko/toodet;ecological product
öö, öö, ööd;night
ühe/aastane, ühe/aastase, ühe/aastast;one-year-old
ühe/eurone, ühe/eurose, ühe/eurost;one euro coin
ühe/pikkune, ühe/pikkuse, ühe/pikkust;of same height
ühe/sendine, ühe/sendise, ühe/sendist;one cent coin
ühe/teist/kümnes, ühe/teist/kümnenda, ühe/teist/kümnendat;eleventh
üheksa, üheksa, üheksat;nine
üheksa/kümmend, üheksa/kümne, üheksat/kümmend;ninety
üheksa/sada, üheksa/saja,üheksat/sada;nine hundred
üheksa/teist, üheksa/teist/kümne, üheksat/teist/kümmet;nineteen
üheksakesi;nine of us together
üheksas, üheksanda, üheksandat;ninth
üks/teist, ühe/teist/kümne, üht/teist/kümmet;eleven
üksi;alone
üle/eile;the day before yesterday
üle/homme;the day after tomorrow
ülemus, ülemuse, ülemust;boss
Ülo, Ülo, Ülot;Ülo (male name)
ümber keerama, ümber keera/ta, keera/n ümber;to turn round
ümber pöörama, ümber pööra/ta, pööra/n ümber;to turn round
